Task,Model,Dataset,Nepochs,LRin
link_pred,gcn,BitcoinOTC-1,20,0.001
link_pred,sgcn,BitcoinOTC-1,20,0.001
link_pred,sigat,BitcoinOTC-1,20,0.0001
link_pred,sgclstm,BitcoinOTC-1,20,0.001
link_pred,tgn,BitcoinOTC-1,20,0.01
link_pred,semba,BitcoinOTC-1,20,0.01
link_pred,gcn,BitcoinAlpha-1,15,0.001
link_pred,sgcn,BitcoinAlpha-1,20,0.001
link_pred,sigat,BitcoinAlpha-1,20,0.001
link_pred,sgclstm,BitcoinAlpha-1,20,0.001
link_pred,tgn,BitcoinAlpha-1,20,0.01
link_pred,semba,BitcoinAlpha-1,20,0.01
link_pred,gcn,wikirfa,20,0.01
link_pred,sgcn,wikirfa,20,0.001
link_pred,sigat,wikirfa,20,0.001
link_pred,sgclstm,wikirfa,15,0.001
link_pred,tgn,wikirfa,20,0.001
link_pred,semba,wikirfa,20,0.001
link_pred,gcn,epinions,5,0.001
link_pred,sgcn,epinions,10,0.01
link_pred,sigat,epinions,,
link_pred,sgclstm,epinions,,
link_pred,tgn,epinions,10,0.001
link_pred,semba,epinions,5,0.01
sign_class,gcn,BitcoinOTC-1,15,0.01
sign_class,sgcn,BitcoinOTC-1,20,0.01
sign_class,sigat,BitcoinOTC-1,20,0.001
sign_class,sgclstm,BitcoinOTC-1,20,0.001
sign_class,tgn,BitcoinOTC-1,15,0.01
sign_class,semba,BitcoinOTC-1,15,0.01
sign_class,gcn,BitcoinAlpha-1,10,0.01
sign_class,sgcn,BitcoinAlpha-1,20,0.01
sign_class,sigat,BitcoinAlpha-1,20,0.001
sign_class,sgclstm,BitcoinAlpha-1,20,0.001
sign_class,tgn,BitcoinAlpha-1,20,0.001
sign_class,semba,BitcoinAlpha-1,15,0.01
sign_class,gcn,wikirfa,15,0.01
sign_class,sgcn,wikirfa,20,0.001
sign_class,sigat,wikirfa,20,0.001
sign_class,sgclstm,wikirfa,20,0.001
sign_class,tgn,wikirfa,15,0.01
sign_class,semba,wikirfa,20,0.001
sign_class,gcn,epinions,5,0.001
sign_class,sgcn,epinions,10,0.01
sign_class,sigat,epinions,,
sign_class,sgclstm,epinions,,
sign_class,tgn,epinions,10,0.01
sign_class,semba,epinions,5,0.001
signlink_class,gcn,BitcoinOTC-1,20,0.0001
signlink_class,sgcn,BitcoinOTC-1,15,0.0010
signlink_class,sigat,BitcoinOTC-1,15,0.0010
signlink_class,sgclstm,BitcoinOTC-1,15,0.001
signlink_class,tgn,BitcoinOTC-1,10,0.01
signlink_class,semba,BitcoinOTC-1,10,0.01
signlink_class,gcn,BitcoinAlpha-1,20,0.0001
signlink_class,sgcn,BitcoinAlpha-1,20,0.01
signlink_class,sigat,BitcoinAlpha-1,20,0.01
signlink_class,sgclstm,BitcoinAlpha-1,20,0.01
signlink_class,tgn,BitcoinAlpha-1,10,0.01
signlink_class,semba,BitcoinAlpha-1,20,0.01
signlink_class,gcn,wikirfa,10,0.0001
signlink_class,sgcn,wikirfa,20,0.001
signlink_class,sigat,wikirfa,15,0.001
signlink_class,sgclstm,wikirfa,20,0.0001
signlink_class,tgn,wikirfa,20,0.01
signlink_class,semba,wikirfa,15,0.01
signlink_class,gcn,epinions,10,0.001
signlink_class,sgcn,epinions,10,0.001
signlink_class,sigat,epinions,,
signlink_class,sgclstm,epinions,,
signlink_class,tgn,epinions,10,0.001
signlink_class,semba,epinions,10,0.001
signwt_pred,gcn,BitcoinOTC-1,20,0.0001
signwt_pred,sgcn,BitcoinOTC-1,15,0.0010
signwt_pred,sigat,BitcoinOTC-1,15,0.0010
signwt_pred,sgclstm,BitcoinOTC-1,15,0.001
signwt_pred,tgn,BitcoinOTC-1,10,0.01
signwt_pred,semba,BitcoinOTC-1,10,0.01
signwt_pred,gcn,BitcoinAlpha-1,20,0.0001
signwt_pred,sgcn,BitcoinAlpha-1,20,0.01
signwt_pred,sigat,BitcoinAlpha-1,20,0.01
signwt_pred,sgclstm,BitcoinAlpha-1,20,0.01
signwt_pred,tgn,BitcoinAlpha-1,10,0.01
signwt_pred,semba,BitcoinAlpha-1,20,0.01
